Time,X_Expected,Y_Expected,X_Actual,Y_Actual,VX,VY,Error_Distance
15163,-5.05247,0.23386,-0.24185,0.400612,-0.647064,1.38385,4.81351
15265,-5.13781,0.368747,-0.236022,0.403631,-1.03262,1.25047,4.90191
15387,-5.28972,0.507623,-0.228904,0.412722,-1.4606,1.01257,5.06171
15499,-5.47273,0.605507,-0.225158,0.422482,-1.80972,0.725272,5.25076
15611,-5.69196,0.667879,-0.224439,0.426929,-2.10632,0.380018,5.47283
15713,-5.91776,0.68872,-0.225391,0.435768,-2.3232,0.0230539,5.69799
15826,-6.19015,0.667167,-0.228085,0.445353,-2.49734,-0.409689,5.96619
15939,-6.47798,0.595044,-0.234352,0.459089,-2.59651,-0.869992,6.24511
16050,-6.76736,0.472643,-0.241358,0.468376,-2.61742,-1.33663,6.52601
16162,-7.05729,0.296445,-0.250531,0.477071,-2.5602,-1.8092,6.80916
16273,-7.33399,0.0701087,-0.268436,0.488924,-2.42652,-2.26664,7.07795
16385,-7.59389,-0.208498,-0.273905,0.491456,-2.21671,-2.70462,7.35337
16498,-7.82818,-0.53734,-0.303745,0.500559,-1.93358,-3.11032,7.59568
16609,-8.02357,-0.90247,-0.313159,0.502334,-1.59224,-3.46247,7.83734
16722,-8.18031,-1.31116,-0.337138,0.502757,-1.18886,-3.76379,8.05019
16835,-8.28873,-1.75018,-0.355094,0.501824,-0.739229,-3.99892,8.24707
16947,-8.34402,-2.20749,-0.372783,0.498363,-0.259185,-4.16,8.41797
17059,-8.34418,-2.67856,-0.401764,0.487824,0.242998,-4.24472,8.55032
17171,-8.28746,-3.15465,-0.408772,0.484179,0.754609,-4.25045,8.67841
17294,-8.15927,-3.67271,-0.435502,0.467292,1.31198,-4.16513,8.76334
17407,-7.98203,-4.1345,-0.450495,0.454053,1.80572,-4.0041,8.81923
17510,-7.77319,-4.53602,-0.469671,0.433344,2.22943,-3.79175,8.8338
17624,-7.49335,-4.95109,-0.481513,0.416527,2.65784,-3.48941,8.83047
17737,-7.17068,-5.32486,-0.49208,0.398428,3.02991,-3.12752,8.79544
17849,-6.81276,-5.65193,-0.500203,0.379971,3.33774,-2.71701,8.7311
17963,-6.41698,-5.93511,-0.505709,0.360431,3.58097,-2.25711,8.63579
18075,-6.00536,-6.16045,-0.511206,0.328609,3.74529,-1.77578,8.50256
18208,-5.49905,-6.3565,-0.511422,0.300797,3.83935,-1.18348,8.31842
18321,-5.06436,-6.46086,-0.509474,0.281493,3.83138,-0.677761,8.13672
18433,-4.63889,-6.50842,-0.507226,0.270395,3.74468,-0.188092,7.9387
18546,-4.22386,-6.50209,-0.498997,0.245957,3.58079,0.281454,7.70784
18659,-3.83149,-6.44468,-0.490901,0.229807,3.34531,0.714193,7.4638
18772,-3.4695,-6.34099,-0.482629,0.21502,3.04539,1.0989,7.20435
18875,-3.17175,-6.21122,-0.472833,0.2019,2.72332,1.39935,6.95789
18988,-2.88578,-6.03665,-0.454544,0.185067,2.32616,1.66611,6.67987
19099,-2.65059,-5.83972,-0.437679,0.174594,1.90221,1.85793,6.40851
19212,-2.46089,-5.62163,-0.430525,0.171686,1.44848,1.97713,6.13881
19314,-2.33424,-5.41682,-0.419217,0.167803,1.03045,2.01667,5.90384
19426,-2.24425,-5.19137,-0.407364,0.165816,0.574221,1.98528,5.66335
19538,-2.20463,-4.97378,-0.392014,0.165502,0.133333,1.87715,5.44957
19651,-2.21322,-4.77077,-0.382508,0.166975,-0.283329,1.69397,5.26619
19763,-2.26607,-4.59386,-0.374659,0.170888,-0.656684,1.44465,5.12643
19875,-2.35802,-4.44834,-0.364459,0.178474,-0.980014,1.13536,5.03802
19988,-2.48418,-4.33963,-0.360262,0.183602,-1.24619,0.771764,4.99706
20111,-2.6511,-4.27091,-0.356297,0.193095,-1.45838,0.329723,5.01931
20224,-2.82299,-4.25757,-0.356053,0.19726,-1.57584,-0.106069,5.09228
20336,-3.00213,-4.2939,-0.35725,0.203962,-1.61528,-0.55314,5.21787
20449,-3.18288,-4.38155,-0.36149,0.213072,-1.57592,-1.00642,5.39173
20551,-3.3386,-4.50425,-0.366053,0.2189,-1.47264,-1.40649,5.58069
20664,-3.4948,-4.68671,-0.378354,0.22568,-1.28568,-1.82769,5.81754
20788,-3.63686,-4.93936,-0.382132,0.226845,-0.998382,-2.24905,6.10597
20900,-3.7306,-5.20972,-0.397988,0.229327,-0.67226,-2.58077,6.37883
21012,-3.78467,-5.51412,-0.408938,0.229242,-0.291629,-2.85596,6.66196
21124,-3.7935,-5.84575,-0.424868,0.225902,0.133572,-3.06635,6.94353
21237,-3.75215,-6.20016,-0.437555,0.221061,0.596382,-3.20633,7.22624
21349,-3.65824,-6.56275,-0.450102,0.213483,1.07643,-3.26878,7.4973
21460,-3.51156,-6.92467,-0.461217,0.204489,1.56064,-3.25321,7.75432
21572,-3.30922,-7.28366,-0.472292,0.193329,2.0449,-3.15887,7.99709
21686,-3.04847,-7.63365,-0.482591,0.179979,2.52014,-2.98346,8.22414
21798,-2.74115,-7.95375,-0.498709,0.14956,2.9571,-2.73692,8.40787
21901,-2.41718,-8.22052,-0.502312,0.139023,3.32272,-2.45022,8.57605
22032,-1.95454,-8.51251,-0.508879,0.112937,3.72432,-2.01205,8.74576
22144,-1.52116,-8.71325,-0.510114,0.0938207,4.00123,-1.58243,8.86491
22255,-1.06482,-8.86242,-0.508767,0.0620148,4.20749,-1.11763,8.94174
22367,-0.585337,-8.95898,-0.507592,0.0540953,4.34133,-0.620931,9.01341
22499,-0.00731872,-8.99999,-0.49989,0.02275,4.39858,-0.0166863,9.03618
22643,0.622956,-8.9535,-0.488423,-0.00345866,4.33496,0.642149,9.01879
22755,1.10126,-8.85265,-0.471095,-0.031944,4.19612,1.13734,8.95975
22866,1.55578,-8.69945,-0.466341,-0.0386964,3.98524,1.59979,8.89368
22979,1.99044,-8.49297,-0.452916,-0.0541975,3.70132,2.02989,8.78538
23091,2.38603,-8.24316,-0.428416,-0.0740529,3.3585,2.40507,8.64033
23202,2.73722,-7.95737,-0.41141,-0.0841633,2.96744,2.7176,8.47946
23314,3.04512,-7.6376,-0.386627,-0.0952612,2.53151,2.9656,8.28636
23427,3.30444,-7.29099,-0.375457,-0.0993001,2.06134,3.1414,8.0785
23538,3.50633,-6.93547,-0.35039,-0.104321,1.58205,3.23757,7.84467
23650,3.65572,-6.57034,-0.332596,-0.105326,1.09373,3.256,7.59626
23763,3.75135,-6.20441,-0.315358,-0.104942,0.609351,3.195,7.33087
23874,3.79303,-5.85594,-0.299108,-0.10339,0.15423,3.05971,7.05956
23986,3.78561,-5.52362,-0.284577,-0.099379,-0.272134,2.85201,6.7815
24097,3.73347,-5.22089,-0.258897,-0.0860319,-0.651175,2.58193,6.50429
24209,3.64114,-4.9491,-0.252129,-0.0812673,-0.979747,2.25276,6.23325
24320,3.51672,-4.71883,-0.243134,-0.0726235,-1.24364,1.87988,5.97693
24433,3.36386,-4.52911,-0.23353,-0.0598416,-1.44224,1.46365,5.73721
24545,3.19438,-4.38899,-0.228759,-0.0505013,-1.56437,1.02664,5.52634
24658,3.01395,-4.29803,-0.224576,-0.0360728,-1.60925,0.573852,5.35279
24770,2.83454,-4.25842,-0.224117,-0.032497,-1.57525,0.126314,5.21668
24872,2.67802,-4.26542,-0.224824,-0.024014,-1.47738,-0.269318,5.13965
24984,2.52153,-4.31835,-0.226551,-0.0167438,-1.29952,-0.679031,5.10448
25095,2.38993,-4.41412,-0.232707,-0.00702849,-1.05556,-1.04831,5.12842
25208,2.28735,-4.55108,-0.238024,-0.00306006,-0.74515,-1.37574,5.20211
25320,2.22336,-4.72015,-0.246694,-0.000253715,-0.384481,-1.64244,5.32716
25432,2.20226,-4.91548,-0.254315,-0.000313831,0.0187279,-1.8436,5.49487
25536,2.22469,-5.11363,-0.262137,-0.00195631,0.421322,-1.9663,5.6845
25681,2.32779,-5.40403,-0.273598,-0.00912797,1.00901,-2.02795,5.98933
25794,2.46771,-5.6309,-0.280289,-0.015333,1.47231,-1.98518,6.25188
25907,2.65953,-5.84842,-0.286637,-0.0236888,1.92575,-1.86317,6.52743
26019,2.89905,-6.04611,-0.293566,-0.0384333,2.35266,-1.66663,6.8033
26131,3.18452,-6.21776,-0.295723,-0.0454799,2.74502,-1.39945,7.08584
26243,3.51144,-6.35581,-0.298275,-0.0640671,3.09166,-1.06811,7.35527
26355,3.87411,-6.45352,-0.29672,-0.0867482,3.38263,-0.680916,7.61128
26468,4.26942,-6.50542,-0.295855,-0.0928675,3.61118,-0.243589,7.87163
26580,4.68272,-6.50601,-0.287295,-0.117737,3.76645,0.22504,8.09389
26691,5.10532,-6.45344,-0.279256,-0.13321,3.84556,0.71217,8.30295
26804,5.54006,-6.34369,-0.270138,-0.148178,3.84676,1.21853,8.49369
26916,5.96657,-6.17848,-0.254362,-0.167875,3.76825,1.71784,8.65028
27039,6.4194,-5.93359,-0.239894,-0.180157,3.59232,2.24789,8.80046
27143,6.78146,-5.67705,-0.223995,-0.19168,3.37368,2.66928,8.89751
27246,7.11452,-5.3815,-0.196038,-0.206242,3.09859,3.05265,8.95698
27358,7.44119,-5.01787,-0.188886,-0.209149,2.74006,3.42142,9.01897
27574,7.94429,-4.21543,-0.13739,-0.220598,1.90722,3.95836,9.01512
27687,8.13152,-3.75706,-0.128949,-0.221808,1.41845,4.13415,8.98518
27790,8.25299,-3.32559,-0.096031,-0.22281,0.954837,4.22608,8.90693
27902,8.33036,-2.84987,-0.0758762,-0.219446,0.44313,4.24999,8.80817
28014,8.35055,-2.37597,-0.0490755,-0.210535,-0.0638946,4.19445,8.67426
28126,8.31482,-1.91272,-0.0380996,-0.205102,-0.553401,4.06135,8.52568
28239,8.22481,-1.46475,-0.0144068,-0.191636,-1.01701,3.85245,8.337
28351,8.08615,-1.04796,0.00141468,-0.180628,-1.4349,3.57742,8.13113
28463,7.90352,-0.665447,0.0160355,-0.168383,-1.80093,3.24245,7.90313
28576,7.68114,-0.320571,0.0337619,-0.144068,-2.10855,2.85319,7.64941
28688,7.43024,-0.0245402,0.0416734,-0.130379,-2.34489,2.4273,7.38932
28811,7.12926,0.243521,0.0512507,-0.109023,-2.51934,1.9276,7.08678
28944,6.78649,0.462738,0.0559491,-0.0930778,-2.60281,1.36817,6.75345
29056,6.49439,0.589455,0.0580427,-0.0713203,-2.58707,0.897124,6.47018
29168,6.20843,0.664054,0.0577504,-0.0658235,-2.49396,0.439777,6.19383
29280,5.93713,0.688785,0.0564799,-0.0521516,-2.32689,0.00862651,5.92714
29393,5.68636,0.666852,0.0483255,-0.0294805,-2.08882,-0.387925,5.68087
29524,5.43431,0.589136,0.0428364,-0.0204695,-1.73537,-0.784877,5.42583
29637,5.25758,0.484095,0.0373446,-0.0125718,-1.37418,-1.06238,5.24381
29749,5.12508,0.352767,0.0303661,-0.00697123,-0.975882,-1.27007,5.1074
29861,5.03891,0.202238,0.022379,-0.00368272,-0.54913,-1.40502,5.02075
29973,5.00155,0.0408512,0.0108096,-0.00190749,-0.106265,-1.46357,4.99093
